Performance Statistics   2024-07-09 04:26:00 - 2024-07-09 04:28:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
intership_ManufacturerOfGoods.browse#afterShow           0,0           0           0         0,0           2
intership_ManufacturerOfGoods.browse#beforeShow          6,0           5           7         1,0           2
intership_ManufacturerOfGoods.browse#create              0,5           0           1         0,5           2
intership_ManufacturerOfGoods.browse#init                0,0           0           0         0,0           2
intership_ManufacturerOfGoods.browse#inject              0,0           0           0         0,0           2
intership_ManufacturerOfGoods.browse#load               24,5          12          37        12,5           2
intership_ManufacturerOfGoods.browse#uiPermissions         0,0           0           0         0,0           2
intership_ManufacturerOfGoods.browse#xml                 1,0           0           2         1,0           2
intership_Product.browse#afterShow                       0,0           0           0         0,0           1
intership_Product.browse#beforeShow                      7,0           7           7         0,0           1
intership_Product.browse#create                          0,0           0           0         0,0           1
intership_Product.browse#init                            0,0           0           0         0,0           1
intership_Product.browse#inject                          0,0           0           0         0,0           1
intership_Product.browse#load                           10,0          10          10         0,0           1
intership_Product.browse#uiPermissions                   0,0           0           0         0,0           1
intership_Product.browse#xml                             2,0           2           2         0,0           1
intership_Product.edit#afterShow                         0,0           0           0         0,0           1
intership_Product.edit#beforeShow                        2,0           2           2         0,0           1
intership_Product.edit#create                            0,0           0           0         0,0           1
intership_Product.edit#init                              0,0           0           0         0,0           1
intership_Product.edit#inject                            0,0           0           0         0,0           1
intership_Product.edit#load                             16,0          16          16         0,0           1
intership_Product.edit#uiPermissions                     0,0           0           0         0,0           1
intership_Product.edit#xml                               2,0           2           2         0,0           1
intership_Shop.browse#afterShow                          0,0           0           0         0,0           1
intership_Shop.browse#beforeShow                         8,0           8           8         0,0           1
intership_Shop.browse#create                             0,0           0           0         0,0           1
intership_Shop.browse#init                               0,0           0           0         0,0           1
intership_Shop.browse#inject                             0,0           0           0         0,0           1
intership_Shop.browse#load                               9,0           9           9         0,0           1
intership_Shop.browse#uiPermissions                      0,0           0           0         0,0           1
intership_Shop.browse#xml                                3,0           3           3         0,0           1
intership_Shop.edit#afterShow                            0,0           0           0         0,0           1
intership_Shop.edit#beforeShow                           1,0           1           1         0,0           1
intership_Shop.edit#create                               0,0           0           0         0,0           1
intership_Shop.edit#init                                 0,0           0           0         0,0           1
intership_Shop.edit#inject                               0,0           0           0         0,0           1
intership_Shop.edit#load                                45,0          45          45         0,0           1
intership_Shop.edit#uiPermissions                        0,0           0           0         0,0           1
intership_Shop.edit#xml                                  2,0           2           2         0,0           1
lookupWindowActions#create                               4,0           4           4         0,0           1
lookupWindowActions#inject                               2,0           2           2         0,0           1
lookupWindowActions#load                                 1,0           1           1         0,0           1
lookupWindowActions#xml                                  0,0           0           0         0,0           2
sec$User.lookup#afterShow                                0,0           0           0         0,0           1
sec$User.lookup#beforeShow                               0,0           0           0         0,0           1
sec$User.lookup#create                                   1,0           1           1         0,0           1
sec$User.lookup#init                                     1,0           1           1         0,0           1
sec$User.lookup#inject                                   8,0           8           8         0,0           1
sec$User.lookup#load                                    30,0          30          30         0,0           1
sec$User.lookup#uiPermissions                            0,0           0           0         0,0           1
sec$User.lookup#xml                                      2,0           0           4         2,0           2
sec$User.lookup.lookupWindowActions#init                 0,0           0           0         0,0           1
sec$User.lookup@usersDs                                107,0         107         107         0,0           1

